SMILES,YSI
CCCC(O)CO,23.1
OCCCCCO,18
CCCCCCCC(C)O,47.3
CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,128
CCCCCCCCCCCCCCCC,88.258
CCCCCCCCCCCCCCC,84.116
CCCCCCCCCCCCCC,78.431
CCCCCCCCCCCCC,72.513
CCCCCCCCCCCC,67.055
CCCCCCCCCCC,60.089
CCCCCCCCCC,54.006
CC1=CCC=CC1,175.6
C1=CCC=CC1,101.4
C1=CCCC=C1,98.8
C=CCCCCCCCCCC,90.3
CC(C)=CC(C)(C)C,89.3
CC(C)=C(C)C(C)C,87
C=CCCCCCCCC,74.8
C=C(C)C(C)(C)C,72.8
C=C(C)CC(C)(C)C,68.5
CCCCC=C(C)C,64.5
C=CCCCCCCC,64.4
CC(C)=C(C)C,62.4
C=CCC(C)(C)C,61.4
CC=C(CC)CC,59.8
CCC/C=C/CCC,59.8
CC/C=C/CCCC,58.8
C/C=C/CCCCC,56.7
C=C(C)CCCCC,56.6
C=CCCCCCC,56
C=CCC(C)CC,55.8
C/C=C\C(C)C,54.1
C/C=C(\C)CC,53.7
CCC=C(C)C,53.6
CC/C=C/CCC,53.5
C=C(C)C(C)C,53.4
C=CC(C)(C)C,53.1
C/C=C\CCCC,50.8
C=CCC(C)C,50.2
C=C(C)CCCC,49.1
C=CCCCCC,48.4
CC/C=C/CC,47.2
C/C=C/CCC,45.8
C=C(CC)CC,45.6
C=CC(C)CC,45.1
C/C=C\CCC,44.7
CC=C(C)C,43.5
C=C(C)CCC,42.9
C=CCCCC,42.4
C/C=C\CC,39.8
CC#CCCC,66.9
CC#CCCCC,75.2
CC#CCCCCC,81.2
C#CCCCCCC,74.1
C=CCCC(=C)C,67.7
CC#CCC,54.7
C#CCCC,47.3
c1ccc(-c2ccccc2-c2ccccc2)cc1,1338.9
c1cc2c3c(c1)ccc1cccc(c13)C2,1312.8
c1ccc2c(c1)-c1cccc3cccc-2c13,1291.9
c1ccc(-c2cccc(-c3ccccc3)c2)cc1,1286.6
c1cc2ccc3cccc4ccc(c1)c2c34,1250.1
c1ccc(Cc2ccc(-c3ccccc3)cc2)cc1,1192.6
Cc1c2ccccc2cc2ccccc12,1182.1
c1ccc(-c2cccc3ccccc23)cc1,1103.7
c1ccc(C(c2ccccc2)c2ccccc2)cc1,1093.3
c1ccc2c(c1)CCc1ccccc1C2,1067.2
Cc1cccc2c1Cc1ccccc1-2,1014.9
c1ccc2c(c1)Cc1ccccc1C2,988.8
c1ccc2c(c1)Cc1ccccc1-2,988.8
Cc1ccccc1-c1ccccc1C,983.5
c1ccc2cc3ccccc3cc2c1,962.6
c1ccc2c(c1)CCc1ccccc1-2,952.2
c1ccc2c(c1)ccc1ccccc12,941.7
C1=C(c2ccccc2)Cc2ccccc21,931.3
Cc1cccc(-c2cccc(C)c2)c1,931.3
Cc1ccc(-c2ccc(C)cc2)cc1,899.9
Cc1ccccc1-c1ccccc1,863.3
CCCCCc1ccc(-c2ccccc2)cc1,863.3
CCCCc1ccc(-c2ccccc2)cc1,847.7
CCCc1ccc(-c2ccccc2)cc1,821.5
CCc1ccc(-c2ccccc2)cc1,811.1
CCC(c1ccccc1)c1ccccc1,805.8
c1cc2c3c(cccc3c1)CC2,805.8
Cc1cccc2c(C)cccc12,779.7
Cc1cccc(-c2ccccc2)c1,779.7
Cc1ccc2cc(C)ccc2c1,774.5
Cc1ccc(-c2ccccc2)cc1,769.3
C/C(=C\c1ccccc1)c1ccccc1,753.6
Cc1cc2ccccc2cc1C,748.4
C=C(c1ccccc1)c1ccccc1,743.1
Cc1ccc2ccccc2c1C,743.1
Cc1cc(C)c2ccccc2c1,743.1
CCc1cccc2ccccc12,732.7
CC(C)(c1ccccc1)c1ccccc1,727.5
Cc1ccc(C)c2ccccc12,711.8
CCc1ccc2ccccc2c1,701.3
Cc1cccc2ccccc12,649.1
Cc1ccc2ccccc2c1,649.1
C(#Cc1ccccc1)c1ccccc1,638.6
c1ccc(-c2ccccc2)cc1,612.5
c1ccc(Cc2ccccc2)cc1,612.5
Cc1cccc2c1CCCC2C,607.3
C(=C\c1ccccc1)\c1ccccc1,602
C(=C/c1ccccc1)\c1ccccc1,602
Cc1c(C)c(C)c(C)c(C)c1C,565.4
Cc1ccc(CCc2ccc(C)cc2)cc1,549.8
C#Cc1cc(C)ccc1C,512.7
CC1=Cc2ccccc2C1,500.1
c1ccc2cccc-2cc1,492.3
C#Cc1ccccc1C,485
Cc1cc(C)c(C)c(C)c1C,481.8
CCC#Cc1ccccc1,480.8
c1ccc(CCc2ccccc2)cc1,471.4
C=Cc1cc(C)ccc1C,469.3
C1=Cc2ccccc2C1,467.7
C1=Cc2ccccc2CC1,466.1
c1ccc2ccccc2c1,466.1
C#CCc1ccccc1,443.7
C#Cc1ccc(CC)cc1,442.6
c1ccc2c(c1)CCC2,439.5
CC(C)=Cc1ccccc1,436.9
CC#Cc1ccccc1,427.5
c1ccc(CCCc2ccccc2)cc1,413.9
Cc1ccc(C(C)(C)C)cc1,410.8
C=Cc1ccccc1C,408.1
Cc1ccc(C)c(C)c1C,393
Cc1cc(C)c(C)cc1C,393
Cc1cc(C)c(C)c(C)c1,386.2
C#Cc1cccc(C)c1,384.6
c1ccc(C2CCCCC2)cc1,377.3
CCc1ccccc1CC,376.3
C#Cc1ccc(C)cc1,374.7
CC(C)c1cccc(C(C)C)c1,353.3
C/C=C/c1ccccc1,352.2
c1ccc(C2CC2)cc1,343.9
c1ccc2c(c1)CCCC2,336
Cc1ccc(C(C)C)cc1,330.3
CCCCCCCCCCCCCCc1ccccc1,330.3
C=Cc1cccc(C)c1,322.4
CCc1cccc(CC)c1,320.9
O=C(c1ccccc1)c1ccccc1,319.8
CCCCCCCCCCCCCc1ccccc1,319.8
C=Cc1ccc(C)cc1,318.8
Cc1cccc(C)c1C,315.1
C=CCc1ccccc1,310.9
Cc1cc(C)cc(C)c1,310.9
Cc1ccc(C)c(C)c1,308.3
CCCCCCCCCCCCc1ccccc1,304.1
C#CCCc1ccccc1,298.9
CCCCCCCCCCCc1ccccc1,293.7
CC(C)(C)c1ccccc1,291.1
C=C(C)c1ccccc1,286.4
CCCCCCCCCCc1ccccc1,283.2
CCCCCCCCCc1ccccc1,283.2
CCc1cccc(C)c1,278
C=CCCc1ccccc1,275.9
CC(C)(C)Cc1ccccc1,272.8
CCc1ccc(CC)cc1,270.7
CCc1ccccc1C,267
CC(C)CCc1ccccc1,258.1
CC(C)Cc1ccccc1,257.6
CCc1ccc(C)cc1,257.1
CCCCCCCc1ccccc1,257.1
CCCCCCCCc1ccccc1,257.1
CCCCCc1ccccc1,255
CCCCCCc1ccccc1,246.7
CCCCc1ccccc1,245.1
c1ccc(Oc2ccccc2)cc1,241.4
CCCc1ccccc1,235.7
Cc1cccc(C)c1,221.6
C#Cc1ccccc1,216.3
CCC(C)c1ccccc1,199.1
CC1=CC2C3CC(C=C3C)C2C1,189.2
CC(C)c1ccccc1,187.6
C=Cc1ccccc1,174
Cc1ccccc1,170.9
C1=CC2C3C=CC(C3)C2C1,157.8
Brc1ccccc1,137.4
Clc1ccccc1,128
N#Cc1ccccc1,115
Fc1ccccc1,106.6
C1CCC2CCCCC2C1,105.5
c1ccccc1,100.3
C1CCC(C2CCCCC2)CC1,117.1
O=CCc1ccccc1,217.6
CC(=O)c1ccccc1,130.8
COc1ccccc1,111
OCc1ccccc1,189
O=Cc1ccccc1,119
CCc1ccccc1,216
CCOc1ccccc1,112
COCc1ccccc1,202
CC(O)c1ccccc1,142
OCCc1ccccc1,207
Cc1ccccc1C,200
Cc1ccc(C)cc1,202
COc1ccccc1C,122
COc1cccc(C)c1,126
COc1ccc(C)cc1,123
Cc1cccc(CO)c1,243
Cc1ccc(O)c(C)c1,144
CC(C)CCCC1CCC2CCCC2C1,155.4
CCC1CCC(CCCC(C)C)CC1,130.7
CC(C)CCCC1CCC(C)C(C)C1,157.9
CC1CCC(C)C(C)C1,82.8
CCCCC1CCCCC1,76.8
CC(C)C1CCCCC1,74.7
CCCC1CCCCC1,69.2
CC1(C)CCCCC1,67.9
CC1CCCC(C)C1,67.6
CC1CCC(C)CC1,67.6
C[C@H]1CCCC[C@H]1C,65.2
CCC1CCCCC1,60.7
CCC1CCCC1,58.6
C1CCCCCCC1,57.7
CC1CCCCC1,53.6
CC1CCCC1,50.3
C1CCCCCC1,50
C1CCCCC1,42.7
C1CCCC1,39.4
CC1=CCCC1,96.5
C1=CCCC1,70.2
C1=CCCCC1,45.6
CC1=CCCCC1,62
CC(C)(C)C1=CCCCC1,161
C1=C(c2ccccc2)CCCC1,468
C1=C\CCCCCC/1,78
CC1C=CCCC1,85
CC1CC=CCC1,61
C1=CCCCCC1,79
CN1CCCCC1,27.9
O=C1CCCC1,22
C1CCOCC1,26.5
COC1CCCCO1,22.1
CCC1CO1,18.8
C1COCO1,10.3
CCCCCCCC1CCC(=O)O1,58.2
CCCCCCCCCC(=O)OCC,58
CCCCCCCCCC(=O)OCCCC,82.6
CCCCOC(C)C(=O)OC,26.3
CCCCCCOC(C)C(=O)OC,41.6
CC(C)COC(=O)C(C)OCC(C)C,68.1
CC(C)CCOC(=O)C(C)OCCC(C)C,74.5
CCCCCCCCOC(C)C(=O)OCC,51.7
COC(=O)C(C)OCC1CC1,43.5
CCOC(=O)CC(OCC)OCC,27.4
CC(C)CCOCCCC(=O)OCCC(C)C,81.7
CC(C)CCOCC(=O)OCCC(C)C,70.6
CCOC(=O)C(C)(OCC)OCC,27.524
CC(C)CCOC(=O)C(OCCC(C)C)OCCC(C)C,106.952
CCCCCCCCCCCC(=O)OC,80.9
CCCCCCCCCCCCCC(=O)OC,96.1
CCCCCCOCCCCCC,72.5
CCCCCCCC/C=C/CCCCCCCC(=O)OC,136.8
CCCCC/C=C/C/C=C/CCCCCCCC(=O)OC,150.6
CC(C)COCC(C)C,61.2
CCCCOCOCCCC,47.7
CCCCCOCCCCC,49.8
CCOCCOCCO,15.1
CCCCCCOC(=O)CCCCC,66.7
CCCCCCCCCC(=O)OC,50.4
CCCCOC(CCC)CCC,60.3
CCCCCC(CCCCC)OCC,68.5
CCCCCCOC(CCC)CCC,73.3
CCCCCCCCCCC(=O)OC,58.5
c1ccoc1,24.4
CCOCc1ccco1,43.9
OCC1CCCO1,16.9
CC(C)(C)c1ccco1,107.5
Cc1ccco1,41.5
CCc1ccco1,46.9
CCCc1ccco1,53.8
CCCCc1ccco1,58.6
Cc1ccoc1C,54.6
Cc1ccc(C)o1,55.1
C1=COCC1,24.942
C1=CCOC1,25.115
CC1CCCO1,30.559
CC1CCC(C)O1,43.4
O=Cc1ccco1,28.3
OCc1ccco1,38.064
Cc1ccc(C=O)o1,44.116
CCC(C)CCCC(C)CCCC(C)C,109.8
CC(CC(C)(C)C)CC(C)(C)C,99.3
CC(C)CC(C)(C)C,61.7
CC(C)C(C)C(C)C,60.9
CCCCC(C)C(C)C,60.2
CCC(C)CC(C)C,56.1
CC(C)CCC(C)C,56.1
CC(C)C(C)(C)C,55.3
CCC(C)C(C)CC,55.2
CCCCC(C)(C)C,52.8
CCCCCCCCC,50.1
CC(C)CC(C)C,49.6
CCC(C)C(C)C,49.4
CCCCCC(C)C,49.4
CCCCC(C)CC,48.7
CCCC(C)CCC,48.1
CCC(C)(C)CC,47.7
CCCC(C)(C)C,47.4
CC(C)C(C)C,44
CCC(C)(C)C,43.4
CCCC(C)CC,43
CCCCCCCC,42.6
CCCCC(C)C,42.4
CCC(C)CC,38.2
CCCC(C)C,36.7
CCCCCCC,36
CCCCCC,30.4
CCCCC,24.6
CCCC(C)C(CC)CC,67.6
CCCCCC(CCC)C(CCCC)CCCC,121.8
CCCCCCC(CCCC)C(CCCCC)CCCCC,133.1
Nc1ccccc1,84.569
CCCCCCN,26.631
c1ccncc1,34.632
C1CCNCC1,23.056
C1COCCN1,8.768
C1CCNC1,13.843
CC(C)NC(C)C,32.007
CC(C)(C)N,21.097
CCCCN,15.042
CC(C)CN,23.365
CCC(C)N,18.558
CNC(C)C,18.105
Cc1ccccn1,64.971
Cc1cccnc1,66.056
Cc1ccncc1,65.652
Cc1ccccc1N,114.426
Cc1cccc(N)c1,119.647
CC1CCCCN1,27.311
CC1CCCNC1,33.626
CCCNCCC,22.455
CC(C)(C)CCN,40.791
C1=CCNCC1,32.927
C#CCN,25.354
C=CCN(C)C,34.61
C=CCN,30.791
NC=O,-3.102
CCNC=O,4.309
CCCCCNC=O,19.138
O=CNCCc1ccccc1,216.783
c1ccc2ncccc2c1,214.599
CCCCNCCCC,31.274
CCCCN(CCCC)CCCC,53.383
CN(C)C=O,6.55
CC(=O)N(C)C,9.689
Cc1ccc2ccccc2n1,311.187
CCCCNc1ccccc1,124.486
CCCCC(CC)CO[N+](=O)[O-],39.156
CCCCON=O,11.209
CC(C)(C)ON=O,11.193
CC(C)O[N+](=O)[O-],1.053
Cn1ccc2ccccc21,220.118
c1ccc2c(c1)CCN2,176.053
N=C(c1ccccc1)c1ccccc1,447.571
C1CN=C2CCCN2C1,27.892
c1ccc2c(c1)CCCN2,155.064
CC#N,1.029
C=CC#N,12.856
c1ccnnc1,15.439
CC(=O)n1ccc2ccccc21,187.078
C1CNC1,6.102
CC(C)(C)C(=N)C(C)(C)C,62.299
CCC(=O)NC,7.023
C1CCC2=NCCCN2CC1,45.913
O=[N+]([O-])c1ccccc1,98.946
c1cc[nH]c1,22.915
NCc1ccccc1,196.821
CCCCC#N,21.658
CNCc1ccccc1,193.046
CCNc1ccccc1,110.812
CNc1ccccc1,104.171
CCC#N,11.405
CC(N)c1ccccc1,143.88
CCCC#N,15.775
C1CCOC1,20.1
CC(O)COC(C)(C)C,44
CCCOC(=O)OCCC,34.5
COC(C)(C)CCO,33.2
CCCCOCC(C)O,31.7
CCOC(CC)OCC,27.3
CCCOCC(C)O,25.8
CC(C)OCCO,25.5
CCCCOCCO,25.3
CCOC(C)OCC,22.4
CCOCCOCC,20.4
CCC(O)COC,19.8
COCC(C)OC,18.6
CCOCOCC,18.5
COCCCO,17.9
COCC(C)O,16.4
COC(C)(C)OC,16.4
COCCOCCOC,16.1
CCOCCO,15.7
CCOC(=O)OCC,15.3
COCCOCCO,15
COC(OC)C(C)=O,14.8
COC(OC)(OC)OC,14.8
COC(C)OC,14.2
CC(O)CO,13.7
COC(OC)OC,12.8
COC(C)(OC)OC,12.7
COCCOC,11.8
COCOC,10.9
COC(=O)OC,10.5
COC(=O)[C@H](C)O,9.6
OCCO,8.2
CCCCC1(CCCC)CCO1,74.7
CCCCCCC1CCO1,52.7
CCCCCCCCC1CCO1,67.1
CCCCCCCCCC1(C)CCO1,90.2
CCCCC1(CCCC)COC1,89.3
CCCCCCCCCCC1CCO1,78.9
CCCCCCC1(CC)CCO1,73.2
CCCCCC1(CCC)CCO1,87.5
C=COCC1CCC(COC=C)CC1,130.5
Oc1ccccc1,81.3
COc1ccccc1O,64
COc1cccc(O)c1,64.1
COc1ccc(O)cc1,54.9
COc1cccc(O)c1OC,61.3
COc1ccc(O)cc1OC,49.5
COc1cccc(OC)c1O,63.3
COc1cc(O)cc(OC)c1,50.8
Cc1cccc(O)c1,107
Cc1ccccc1O,101.9
Cc1ccc(O)cc1,104.4
CCc1ccccc1O,118.9
CCc1cccc(O)c1,134.8
CCc1ccc(O)cc1,129.2
Oc1cccc(O)c1,34.1
Cc1ccc(O)c(O)c1,104
COC(C)COC(C)COC(C)CO,40.6
C=CC(OC)OC,15.5
C=CC(OCC)OCC,26.6
CC1(C)OCC(CO)O1,18.7
CC1OCCO1,11.1
CC1(C)OCCO1,17.4
CC1COC(C)(C)O1,25.6
CCC1(C)OCCO1,21.1
CCC(CC)C1OC(C)C(C)O1,57.8
CCCCC(CC)C1OC(C)C(C)O1,68.5
CCCC1OC(C)C(C)O1,36.5
CCCCCC1OC(C)C(C)O1,48.7
CCCCCCCC1OC(C)C(C)O1,63.2
CCCCCC(OCC)OCC,42.9
CCCCCCCC(OCC)OCC,59.6
COCOCOCOC,0.5
COCOCOCOCOC,-2.5
COCOCOCOCOCOC,-4.8
CCCOCOCCC,30.8
CCCCOCOCOCCCC,42.7
CCCCOCOCOCOCCCC,37.8
CCOCOCOCC,13.8
CCOCOCOCOCC,11.9
CCCOCOCOCCC,25.5
CCCOCOCOCOCCC,21.3
COCCO,5.9
OCCOCCO,7.9
CCOCCOCCOCC,17.7
CCOC(OCC)(OCC)OCC,25.1
CC(CO)CC(C)(C)C,59
CCCC(CO)CCC,50.5
CCCCC(CC)CO,50.4
CCCCCCC(C)O,46.1
CCC(O)C(C)(C)C,46
CC(C)CCC(C)O,44.7
CCCCC(O)CCC,43.8
CCCCCC(O)CC,43.6
OC1CCCCC1,42.3
CC(C)CC(C)O,42
CC(C)C(O)C(C)C,41.9
CCCCC(C)(C)O,41.8
CCC(CC)CO,41.7
CCCCCCCCO,41.1
CC(C)(C)CCO,40.9
CC(C)C(C)(C)O,40.6
CCC(O)(CC)CC,40.5
CC(O)C(C)(C)C,40.4
CCCCCC(C)O,39.4
CCCCC(O)CC,38.5
CCCC(O)CCC,38.5
CCC(C)C(C)O,37.7
CCCC(C)(C)O,36.4
CCC(C)CCO,36.3
CCCC(C)CO,35.8
CC(C)CCCO,35.6
CCCCCCCO,34.7
CCCCC(C)O,34.1
CCCC(O)CC,33.9
CC(C)C(C)O,33.3
CCC(C)(C)O,32.9
CCC(C)CO,32.3
CC(C)CCO,31.9
CCCC(C)O,30.2
CCCCCCO,30
CCC(O)CC,29.1
CC(C)(C)O,27.5
CC(C)CO,26.2
CCCCCO,25.4
CC[C@H](C)O,25.3
CC[C@@H](C)O,25.2
CCC(C)O,24.8
CCCCO,22
CC(C)O,19.2
CCCO,16.2
CCO,10.3
CO,6.6
CC(CC=O)CC(C)(C)C,62.3
CCCCCCCCCC=O,52.8
CCCCC(C=O)CCCC,48.2
CCCCCCCCC=O,43.7
CC(C)(C)CC=O,38.4
CCCCCCCC=O,37.5
CCCCC(C=O)CC,36.6
CCCCCCC=O,33.8
CC(C)(C)C=O,30.6
CCC(C=O)CC,29
CC(C)CC=O,27.9
CCCC(C)C=O,27.6
CCCCCC=O,26.7
CCC(C)C=O,22.7
CC(C)C=O,21.2
CCCCC=O,21.1
CCCC=O,17.6
CCC=O,13.9
CC(C)(C)C(=O)C(C)(C)C,65.8
CC(C)CC(=O)CC(C)C,55.8
CCCCCCCCC(C)=O,51.9
CCCCCCCC(=O)CC,50.2
CCCCCCCC(C)=O,45.1
CCC(=O)CC(C)CC,43.5
CCCCCCC(=O)CC,43
CC(=O)CC(C)(C)C,42.7
CC(C)C(=O)C(C)C,42.6
CCCCC(=O)CCCC,41.8
CC(=O)C(C)(C)C,40.6
CCCCCCC(C)=O,37.9
CCCCCC(=O)CC,36
CCCC(=O)C(C)C,35.9
O=C1CCCCC1,34.3
CC(=O)CC(C)C,32.8
CCC(=O)C(C)C,30.7
CCCCC(=O)CC,30.7
CCCCCC(C)=O,30.4
CCC(C)C(C)=O,29
CCCC(=O)CCC,28.5
CC(=O)C(C)C,26.6
CCCCC(C)=O,25.6
CCCC(=O)CC,25.5
CCCC(C)=O,21.1
CCC(=O)CC,21.1
CCC(C)=O,17.2
CC(C)=O,13
CCN(CC)CC,25.5
CCNCC,13.2
CCCCN(C)C,26.1
CCCCNCC,22.1
CC(=O)OCCC(C)C,43.6
CCCCOC(=O)CC,43.3
CCC(=O)OCC(C)C,41.1
CCC(=O)OC(C)(C)C,40.5
CCCCCOC(C)=O,40.4
CCCCCCCC(=O)OC,38.9
CC(C)CCOC=O,38.2
CCCOC(=O)CCC,37.3
CCOC(=O)CC(C)C,36.6
CCCC(=O)OC(C)C,36.3
CCCCOC(C)=O,36
CCCCCOC=O,35.7
CCC(C)OC(C)=O,34.9
CC(=O)OCC(C)C,34.8
CC(=O)OC(C)(C)C,32.7
CCCCCCC(=O)OC,32.5
CCCOC(=O)CC,31.9
CCCCOC=O,31
COC(=O)C(C)(C)C,30.8
CC(C)COC=O,30.4
CCC(C)(C)C(=O)O,30
CC(C)(C)OC=O,30
CCOC(=O)C(C)CC,29.3
CCCCC(=O)OCC,28.4
COC(=O)CC(C)C,28.4
CCCCCC(=O)OC,26.7
CCOC(=O)C(C)C,26.1
CCC(CC)C(=O)O,25.9
CCCC(=O)OCC,25.5
CCC(C)C(=O)OC,24.9
CCCOC(C)=O,24.4
CC(=O)OC(C)C,23.7
CCCCC(=O)OC,22.3
COC(=O)C(C)C,22.2
CCOC(=O)CC,20.3
CC(C)OC=O,20.3
CCCOC=O,20.3
CC(C)C(=O)O,18.8
CCCC(=O)OC,18.6
CCCC(=O)O,18.1
CCC(=O)OC,15
CCOC(C)=O,13.4
COC(C)=O,11.7
CCOC=O,9.2
CC(C)CCOCCC(C)C,63.6
COC1CCCC1,62.3
CCC(C)OC(C)CC,54
CCCCOCCCC,38.7
CC(C)OC(C)C,38.7
CCC(C)(C)OC,38.1
CCOC(C)(C)C,37.9
COC(C)(C)C,31.5
CCC(C)OC,28.6
CCCOCCC,28
CCCCOC,23
CCCOC,18
CCOCC,16.8
C=C(C)[C@H]1CC=C(C)CC1,137.325
CC1CCC(C(C)C)CC1,91.985
C=C1CCC2(C(C)C)CC12,203.716
CC1CCC2(C(C)C)CC12,144.456
CC1CCC(C)(C(C)C)C1,104.871
CC1=CCC2CC1C2(C)C,207.124
C=C1CC[C@H]2C[C@@H]1C2(C)C,136.906
CC1CCC2CC1C2(C)C,109.663
CC1=CCC2C(C1)C2(C)C,248.498
CC1CCC2C(C1)C2(C)C,144.084
CC1CCCC(C)(C)CC1,99.086
CC1CCCCC(C)CC1,84.741
CC12CCC(CC1)C(C)(C)O2,110.962
CC(C)C12CCC(C)(CC1)O2,104.569
C=C(C)[C@H]1CC=C(C)C(=O)C1,126.424
C=C(C)[C@@H]1CC=C(C)C(=O)C1,127.687
C=CC(=C)CCC=C(C)C,103.6
C=CC(C)=CCC=C(C)C,213.625
C=CC(C)CCC=C(C)C,110.9
CC(C)=CCCC(C)=CC=O,91.8
CC(C)=CCCC(C)=CCO,103.7
CC(C)=CCCC(C)CC=O,85.6
Cc1ccc(C(C)C)cc1O,193.1
C=CC(C)(O)CCC=C(C)C,98
C=CC(C)(C)O,25
C=CCNC,25.3
CC/C=C/CC(=O)OC,45.3
CCC=C(C)C(=O)OC,42
C=CCCC(=O)OCC,41.2
CCOC(=O)C=C(C)C,39.5
C=CCCCC(=O)OC,39.2
C/C=C/CC(=O)OC,38.8
C/C=C(/C)C(=O)OC,38
C=C(C)C(=O)OCCC,37.1
COC(=O)C=C(C)C,36.4
CCC/C=C/C(=O)OC,35.9
C/C=C(\C)C(=O)OCC,34
CC/C=C/C(=O)OC,33.6
C=CCCC(=O)OC,33.3
C/C=C/C(=O)OCC,30.3
C=CC(=O)OCCC,30
C=C(C)C(=O)OC,29
C/C=C/C(=O)OC,27.3
C=C(C)C(=O)OCC,25.4
C=CC(=O)OCC,22
C=CC(=O)OC,19.4
